Time,Tag_Group,Equipment,Tag_Name,Value,Quality,Source_File
2025-10-20 08:50:29.524,WeighFeeder,CVB_13A,Motor_Current,17.27,Good,WF with current data.csv
2025-10-20 08:50:29.524,WeighFeeder,CVB_109,Motor_Current,31.82,Good,WF with current data.csv
2025-10-20 08:50:30.519,WeighFeeder,Other,Rolling_Avg,134.04,Good,WF with current data.csv
2025-10-20 08:50:31.527,WeighFeeder,FEB_002,Load,102.22,Good,WF with current data.csv
2025-10-20 08:50:32.526,WeighFeeder,FEB_002,Load,102.52,Good,WF with current data.csv
2025-10-20 08:50:45.854,WeighFeeder,Other,Other,1.0,Good,WF with current data.csv
2025-10-20 08:50:45.854,WeighFeeder,Other,Rolling_Avg,134.57,Good,WF with current data.csv
2025-10-20 08:50:47.523,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:50:47.523,WeighFeeder,CVB_109,Motor_Current,29.78,Good,WF with current data.csv
2025-10-20 08:50:47.523,WeighFeeder,CVB_13A,Motor_Current,16.71,Good,WF with current data.csv
2025-10-20 08:50:48.517,WeighFeeder,CVB_13A,Motor_Current,16.76,Good,WF with current data.csv
2025-10-20 08:50:48.517,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:50:48.517,WeighFeeder,CVB_109,Motor_Current,31.58,Good,WF with current data.csv
2025-10-20 08:50:49.527,WeighFeeder,FEB_002,Load,103.73,Good,WF with current data.csv
2025-10-20 08:50:50.523,WeighFeeder,Other,Rolling_Avg,133.2,Good,WF with current data.csv
2025-10-20 08:50:50.523,WeighFeeder,FEB_002,Load,102.2,Good,WF with current data.csv
2025-10-20 08:51:00.528,WeighFeeder,Other,Rolling_Avg,132.56,Good,WF with current data.csv
2025-10-20 08:51:05.523,WeighFeeder,CVB_13A,Motor_Current,17.19,Good,WF with current data.csv
2025-10-20 08:51:05.523,WeighFeeder,CVB_109,Motor_Current,29.55,Good,WF with current data.csv
2025-10-20 08:51:05.523,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:51:06.523,WeighFeeder,CVB_13A,Motor_Current,17.24,Good,WF with current data.csv
2025-10-20 08:51:06.523,WeighFeeder,CVB_109,Motor_Current,29.89,Good,WF with current data.csv
2025-10-20 08:51:06.523,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:51:08.525,WeighFeeder,FEB_002,Load,103.08,Good,WF with current data.csv
2025-10-20 08:51:09.516,WeighFeeder,FEB_002,Load,101.97,Good,WF with current data.csv
2025-10-20 08:51:10.525,WeighFeeder,Other,Rolling_Avg,133.98,Good,WF with current data.csv
2025-10-20 08:51:15.821,WeighFeeder,Other,Other,1.0,Good,WF with current data.csv
2025-10-20 08:51:20.516,WeighFeeder,Other,Rolling_Avg,134.7,Good,WF with current data.csv
2025-10-20 08:51:23.528,WeighFeeder,CVB_109,Motor_Current,31.22,Good,WF with current data.csv
